Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Sub-Saharan Africa,South Africa,Fruits,Offline,M,07/27/2012,443368995,07/28/2012,1593,9.33,6.92,14862.69,11023.56,3839.13
Middle East and North Africa,Morocco,Clothes,Online,M,09/14/2013,667593514,10/19/2013,4611,109.28,35.84,503890.08,165258.24,338631.84
Australia and Oceania,Papua New Guinea,Meat,Offline,M,05/15/2015,940995585,06/04/2015,360,421.89,364.69,151880.4,131288.4,20592
Sub-Saharan Africa,Djibouti,Clothes,Offline,H,05/17/2017,880811536,07/02/2017,562,109.28,35.84,61415.36,20142.08,41273.28
Europe,Slovakia,Beverages,Offline,L,10/26/2016,174590194,12/04/2016,3973,47.45,31.79,188518.85,126301.67,62217.18
Asia,Sri Lanka,Fruits,Online,L,11/07/2011,830192887,12/18/2011,1379,9.33,6.92,12866.07,9542.68,3323.39
Sub-Saharan Africa,Seychelles ,Beverages,Online,M,01/18/2013,425793445,02/16/2013,597,47.45,31.79,28327.65,18978.63,9349.02
Sub-Saharan Africa,Tanzania,Beverages,Online,L,11/30/2016,659878194,01/16/2017,1476,47.45,31.79,70036.2,46922.04,23114.16
Sub-Saharan Africa,Ghana,Office Supplies,Online,L,03/23/2017,601245963,04/15/2017,896,651.21,524.96,583484.16,470364.16,113120
Sub-Saharan Africa,Tanzania,Cosmetics,Offline,L,05/23/2016,739008080,05/24/2016,7768,437.2,263.33,3396169.6,2045547.44,1350622.16
Asia,Taiwan,Fruits,Offline,M,02/09/2014,732588374,02/23/2014,8034,9.33,6.92,74957.22,55595.28,19361.94
Middle East and North Africa,Algeria,Cosmetics,Online,M,02/18/2011,761723172,02/24/2011,9669,437.2,263.33,4227286.8,2546137.77,1681149.03
Asia,Singapore,Snacks,Online,C,01/28/2013,176461303,02/07/2013,7676,152.58,97.44,1171204.08,747949.44,423254.64
Australia and Oceania,Papua New Guinea,Clothes,Offline,L,06/20/2011,647164094,07/14/2011,9092,109.28,35.84,993573.76,325857.28,667716.48
Asia,Vietnam,Personal Care,Online,M,04/04/2010,314505374,05/06/2010,7984,81.73,56.67,652532.32,452453.28,200079.04
Sub-Saharan Africa,Uganda,Personal Care,Online,M,06/19/2014,539471471,07/21/2014,451,81.73,56.67,36860.23,25558.17,11302.06
Sub-Saharan Africa,Zimbabwe,Office Supplies,Offline,C,03/28/2011,953361213,04/08/2011,9623,651.21,524.96,6266593.83,5051690.08,1214903.75
Sub-Saharan Africa,Ethiopia,Cosmetics,Online,M,07/07/2011,807785928,07/25/2011,662,437.2,263.33,289426.4,174324.46,115101.94
Europe,France,Cosmetics,Online,M,12/07/2015,324669444,01/18/2016,5758,437.2,263.33,2517397.6,1516254.14,1001143.46
Central America and the Caribbean,The Bahamas,Personal Care,Online,C,01/19/2011,246248090,02/21/2011,9137,81.73,56.67,746767.01,517793.79,228973.22
Central America and the Caribbean,Haiti,Office Supplies,Online,C,12/31/2010,485070693,01/31/2011,2052,651.21,524.96,1336282.92,1077217.92,259065
Central America and the Caribbean,Nicaragua,Household,Online,C,10/28/2015,573998582,12/07/2015,7791,668.27,502.54,5206491.57,3915289.14,1291202.43
Asia,Turkmenistan,Vegetables,Online,M,04/13/2015,116205585,06/02/2015,6670,154.06,90.93,1027580.2,606503.1,421077.1
Europe,United Kingdom,Cosmetics,Online,L,05/01/2015,135178029,05/16/2015,1038,437.2,263.33,453813.6,273336.54,180477.06
Central America and the Caribbean,Dominican Republic,Baby Food,Offline,H,08/25/2011,824714744,09/24/2011,274,255.28,159.42,69946.72,43681.08,26265.64
Asia,China,Office Supplies,Online,M,02/10/2016,198927056,03/29/2016,5791,651.21,524.96,3771157.11,3040043.36,731113.75
Sub-Saharan Africa,Uganda,Cosmetics,Online,M,02/28/2015,842238795,03/15/2015,6031,437.2,263.33,2636753.2,1588143.23,1048609.97
Middle East and North Africa,Kuwait,Household,Offline,C,06/13/2011,459386289,07/21/2011,1466,668.27,502.54,979683.82,736723.64,242960.18
Middle East and North Africa,United Arab Emirates,Office Supplies,Online,M,06/23/2012,425418365,07/06/2012,9603,651.21,524.96,6253569.63,5041190.88,1212378.75
Europe,Estonia,Household,Offline,H,09/01/2011,835696351,10/21/2011,9976,668.27,502.54,6666661.52,5013339.04,1653322.48
Asia,Malaysia,Beverages,Online,M,11/13/2014,955894076,12/28/2014,9154,47.45,31.79,434357.3,291005.66,143351.64
Australia and Oceania,Vanuatu,Fruits,Online,C,11/03/2013,571997869,11/11/2013,5735,9.33,6.92,53507.55,39686.2,13821.35
Asia,India,Snacks,Online,L,10/10/2012,440306556,11/20/2012,5349,152.58,97.44,816150.42,521206.56,294943.86
Australia and Oceania,Samoa ,Household,Online,L,12/05/2016,937431466,12/08/2016,5657,668.27,502.54,3780403.39,2842868.78,937534.61
Asia,Kazakhstan,Snacks,Online,L,09/08/2013,710296428,10/25/2013,1352,152.58,97.44,206288.16,131738.88,74549.28
Europe,Czech Republic,Cosmetics,Online,H,03/22/2014,726137769,04/26/2014,9157,437.2,263.33,4003440.4,2411312.81,1592127.59
Europe,Belgium,Personal Care,Online,H,11/01/2011,222504317,11/20/2011,2827,81.73,56.67,231050.71,160206.09,70844.62
Europe,Finland,Household,Offline,H,01/15/2016,757257401,01/31/2016,8148,668.27,502.54,5445063.96,4094695.92,1350368.04
Middle East and North Africa,Oman,Cosmetics,Online,H,11/29/2010,358570849,12/28/2010,7937,437.2,263.33,3470056.4,2090050.21,1380006.19
Central America and the Caribbean,Dominica,Household,Offline,C,11/19/2011,274930989,12/13/2011,7044,668.27,502.54,4707293.88,3539891.76,1167402.12
Europe,Serbia,Clothes,Offline,L,07/06/2016,925136649,07/13/2016,7348,109.28,35.84,802989.44,263352.32,539637.12
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Offline,L,11/11/2015,548299157,12/28/2015,2760,109.28,35.84,301612.8,98918.4,202694.4
Asia,Brunei,Cereal,Offline,L,05/28/2013,153842341,07/16/2013,4222,205.7,117.11,868465.4,494438.42,374026.98
Middle East and North Africa,Israel,Beverages,Offline,H,09/08/2013,371502530,10/13/2013,4709,47.45,31.79,223442.05,149699.11,73742.94
Australia and Oceania,Solomon Islands,Household,Online,M,12/17/2010,101328551,12/28/2010,4225,668.27,502.54,2823440.75,2123231.5,700209.25
Sub-Saharan Africa,Togo,Cosmetics,Online,M,09/08/2015,563681733,09/09/2015,4806,437.2,263.33,2101183.2,1265563.98,835619.22
Sub-Saharan Africa,Mauritius ,Clothes,Offline,M,11/17/2012,349235904,12/02/2012,5520,109.28,35.84,603225.6,197836.8,405388.8
North America,Canada,Cosmetics,Online,H,05/09/2011,368977391,06/02/2011,7464,437.2,263.33,3263260.8,1965495.12,1297765.68
Middle East and North Africa,Lebanon,Meat,Online,L,03/08/2017,704205024,04/18/2017,8770,421.89,364.69,3699975.3,3198331.3,501644
Sub-Saharan Africa,Tanzania,Fruits,Offline,H,10/20/2014,156530129,11/29/2014,9599,9.33,6.92,89558.67,66425.08,23133.59
Asia,South Korea,Meat,Offline,L,03/16/2016,297876536,04/20/2016,7141,421.89,364.69,3012716.49,2604251.29,408465.2
Asia,Indonesia,Household,Online,C,09/28/2011,520480573,09/28/2011,623,668.27,502.54,416332.21,313082.42,103249.79
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,C,10/02/2011,286891067,10/04/2011,6297,651.21,524.96,4100669.37,3305673.12,794996.25
Middle East and North Africa,Tunisia ,Cosmetics,Offline,H,07/01/2012,479969346,07/20/2012,2450,437.2,263.33,1071140,645158.5,425981.5
Asia,Thailand,Meat,Online,C,02/04/2015,252889239,02/19/2015,4401,421.89,364.69,1856737.89,1605000.69,251737.2
Asia,Nepal,Meat,Online,H,02/21/2014,179137074,03/14/2014,9496,421.89,364.69,4006267.44,3463096.24,543171.2
Europe,Montenegro,Clothes,Offline,M,09/04/2016,902511680,09/08/2016,2117,109.28,35.84,231345.76,75873.28,155472.48
Europe,Greece,Cereal,Online,H,08/22/2015,887124383,10/08/2015,8674,205.7,117.11,1784241.8,1015812.14,768429.66
Europe,Monaco,Beverages,Offline,M,05/29/2016,467399013,06/14/2016,2609,47.45,31.79,123797.05,82940.11,40856.94
Asia,Taiwan,Cereal,Online,H,04/11/2010,498071897,05/26/2010,9397,205.7,117.11,1932962.9,1100482.67,832480.23
Europe,Albania,Personal Care,Offline,M,02/06/2016,104191863,02/11/2016,1543,81.73,56.67,126109.39,87441.81,38667.58
Central America and the Caribbean,Saint Lucia,Fruits,Offline,L,12/12/2015,731120240,01/12/2016,3581,9.33,6.92,33410.73,24780.52,8630.21
Europe,Italy,Cereal,Online,M,11/15/2011,294530856,12/28/2011,7080,205.7,117.11,1456356,829138.8,627217.2
Europe,Switzerland,Office Supplies,Offline,C,07/29/2014,830410039,08/27/2014,5639,651.21,524.96,3672173.19,2960249.44,711923.75
Europe,Netherlands,Fruits,Online,L,11/19/2016,845056617,11/30/2016,9887,9.33,6.92,92245.71,68418.04,23827.67
Europe,Sweden,Beverages,Online,H,09/13/2012,265081918,10/12/2012,2485,47.45,31.79,117913.25,78998.15,38915.1
Europe,Italy,Cereal,Online,C,11/30/2015,887409770,12/05/2015,3126,205.7,117.11,643018.2,366085.86,276932.34
Sub-Saharan Africa,Burundi,Beverages,Online,H,03/09/2011,529276502,04/09/2011,3533,47.45,31.79,167640.85,112314.07,55326.78
Europe,Iceland,Baby Food,Offline,M,10/02/2010,678230941,11/03/2010,2462,255.28,159.42,628499.36,392492.04,236007.32
Europe,Finland,Vegetables,Offline,C,10/09/2012,642134416,11/27/2012,698,154.06,90.93,107533.88,63469.14,44064.74
Sub-Saharan Africa,Rwanda,Fruits,Online,L,09/05/2012,699160754,09/15/2012,6059,9.33,6.92,56530.47,41928.28,14602.19
Asia,Japan,Household,Offline,M,07/16/2014,747796285,07/24/2014,8393,668.27,502.54,5608790.11,4217818.22,1390971.89
Europe,Romania,Beverages,Online,M,02/19/2012,756839835,03/13/2012,4581,47.45,31.79,217368.45,145629.99,71738.46
Central America and the Caribbean,Belize,Personal Care,Online,H,06/14/2015,315402734,08/02/2015,3533,81.73,56.67,288752.09,200215.11,88536.98
Middle East and North Africa,Egypt,Clothes,Online,C,08/09/2016,882908809,08/24/2016,1192,109.28,35.84,130261.76,42721.28,87540.48
Australia and Oceania,Tonga,Baby Food,Online,L,05/11/2016,839094388,05/31/2016,5531,255.28,159.42,1411953.68,881752.02,530201.66
Asia,Thailand,Fruits,Offline,C,09/30/2012,434008300,11/14/2012,1555,9.33,6.92,14508.15,10760.6,3747.55
Central America and the Caribbean,Dominica,Beverages,Online,L,06/12/2012,438011872,07/18/2012,6301,47.45,31.79,298982.45,200308.79,98673.66
Sub-Saharan Africa,Ghana,Clothes,Online,M,11/02/2011,791778934,12/01/2011,3836,109.28,35.84,419198.08,137482.24,281715.84
Australia and Oceania,East Timor,Cereal,Offline,M,12/07/2015,156295812,12/30/2015,259,205.7,117.11,53276.3,30331.49,22944.81
Sub-Saharan Africa,The Gambia,Fruits,Online,C,11/20/2011,862861335,11/22/2011,8699,9.33,6.92,81161.67,60197.08,20964.59
Sub-Saharan Africa,Mali,Household,Offline,M,08/19/2010,363086831,09/07/2010,4317,668.27,502.54,2884921.59,2169465.18,715456.41
Asia,Indonesia,Personal Care,Offline,L,10/22/2012,678896129,10/31/2012,9306,81.73,56.67,760579.38,527371.02,233208.36
Europe,Albania,Baby Food,Offline,H,07/19/2012,752525556,08/13/2012,7890,255.28,159.42,2014159.2,1257823.8,756335.4
Sub-Saharan Africa,Ghana,Fruits,Offline,M,05/29/2016,496523940,06/04/2016,1323,9.33,6.92,12343.59,9155.16,3188.43
Central America and the Caribbean,Nicaragua,Baby Food,Online,L,11/11/2016,343752610,11/16/2016,2891,255.28,159.42,738014.48,460883.22,277131.26
Europe,Italy,Office Supplies,Online,H,03/29/2011,797385394,04/11/2011,2913,651.21,524.96,1896974.73,1529208.48,367766.25
Europe,Moldova ,Fruits,Online,C,01/27/2013,180908620,03/03/2013,3736,9.33,6.92,34856.88,25853.12,9003.76
Central America and the Caribbean,The Bahamas,Fruits,Offline,L,06/18/2010,488121116,06/30/2010,4740,9.33,6.92,44224.2,32800.8,11423.4
Europe,Romania,Cereal,Online,M,04/16/2015,633134210,04/18/2015,7337,205.7,117.11,1509220.9,859236.07,649984.83
Middle East and North Africa,Pakistan,Meat,Online,M,12/28/2013,500371730,02/15/2014,9969,421.89,364.69,4205821.41,3635594.61,570226.8
Sub-Saharan Africa,Madagascar,Clothes,Online,L,10/17/2016,494570004,10/26/2016,3110,109.28,35.84,339860.8,111462.4,228398.4
North America,United States of America,Personal Care,Online,H,01/21/2016,190777862,02/19/2016,4264,81.73,56.67,348496.72,241640.88,106855.84
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,M,10/07/2012,584356629,10/25/2012,2967,437.2,263.33,1297172.4,781300.11,515872.29
Australia and Oceania,New Zealand,Beverages,Online,M,10/11/2012,940980136,11/04/2012,5788,47.45,31.79,274640.6,184000.52,90640.08
Sub-Saharan Africa,Liberia,Baby Food,Offline,H,06/06/2015,146634709,06/12/2015,1324,255.28,159.42,337990.72,211072.08,126918.64
Asia,Turkmenistan,Meat,Online,M,04/30/2017,757619178,05/14/2017,5206,421.89,364.69,2196359.34,1898576.14,297783.2
Sub-Saharan Africa,Malawi,Meat,Offline,H,03/01/2016,450544869,03/12/2016,5094,421.89,364.69,2149107.66,1857730.86,291376.8
Australia and Oceania,Vanuatu,Cereal,Offline,C,06/20/2014,572335612,08/05/2014,5681,205.7,117.11,1168581.7,665301.91,503279.79
